category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
FrictionIndex,BGS,4,12,4,1,10,0,1,0,0,1166.20761019018,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,BGS,16,48,16,1,10,0,1,0,0,12828.705054879547,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,BGS,64,192,64,1,10,0,1,0,0,262499.13966480049,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,BlockedJacobi,4,12,4,1,9,0,1,0,0,1283.9939948023843,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,BlockedJacobi,16,48,16,1,9,0,1,0,0,14103.088169597748,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,BlockedJacobi,64,192,64,1,9,0,1,0,0,255936.61754247794,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,BoxedSemiSmoothNewton,4,12,4,1,24,0,0,1,0,1177.6139075005442,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,BoxedSemiSmoothNewton,16,48,16,1,24,0,0,1,0,13297.909881936641,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
FrictionIndex,BoxedSemiSmoothNewton,64,192,64,1,24,0,0,1,0,263140.9176737087,1,0,2.2737367544323206e-13,2.2737367544323206e-13,0,1,1,1,1,0,0,1,0
FrictionIndex,Dantzig,4,12,4,1,1,1,0,0,0,1242.6059783662417,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,0,1,0
FrictionIndex,Dantzig,16,48,16,1,1,1,0,0,0,11574.920875329251,1,0,5.6843418860808015e-14,5.6843418860808015e-14,0,1,1,1,1,0,0,1,0
